image,method,radius,order,power_ratio,mean,std,gradient_mean,laplacian_var
test3_corrupt.pgm,butterworth_highpass,10,2,0.01834656398776405,24.735551565480865,38.7712667338313,98.36357879638672,2659.345947265625
test3_corrupt.pgm,gaussian_highpass,10,,0.014758692060775909,22.18869936034115,39.30285512029145,91.90057373046875,2768.905029296875
test3_corrupt.pgm,original,,,1.0,109.20513971495905,121.1117861809789,70.54991912841797,617.3275756835938
test4.tif,butterworth_highpass,30,2,0.0050876486129055485,13.219650268554688,20.45634208190283,45.280189514160156,251.38079833984375
test4.tif,gaussian_highpass,30,,0.0041108353595134635,13.049156188964844,20.98457828956455,45.26225662231445,279.86431884765625
test4.tif,original,,,1.0,136.54363250732422,57.78584019391944,31.928226470947266,28.099143981933594
