image,method,mean,std,gradient_mean,laplacian_var,edge_ratio
test3_corrupt.pgm,unsharp,108.81320839411963,121.16132983375813,81.38646697998047,1231.188232421875,
test3_corrupt.pgm,sobel,25.260015710919088,62.74732193853962,123.18809509277344,2074.490966796875,
test3_corrupt.pgm,laplace,16.878633150039278,31.300614253893716,89.25838470458984,5484.052734375,
test3_corrupt.pgm,canny,9.586466165413533,48.50410847175559,80.37687683105469,19928.546875,0.03759398496240601
test3_corrupt.pgm,original,109.20513971495905,121.1117861809789,70.54991912841797,617.3275756835938,
test4.tif,unsharp,136.51473236083984,59.614906499665764,48.46411895751953,113.03005981445312,
test4.tif,sobel,17.86764144897461,29.636174572725054,54.110530853271484,336.8047180175781,
test4.tif,laplace,11.599281311035156,15.862748124077974,43.38907241821289,1329.777099609375,
test4.tif,canny,9.574756622314453,48.47563278920278,81.67257690429688,20233.9921875,0.037548065185546875
test4.tif,original,136.54363250732422,57.78584019391944,31.928226470947266,28.099143981933594,
