method,mse,psnr
Noisy,3964.8021659851074,12.148588389153016
Arithmetic Mean 3x3,613.9336571606773,20.249589178794025
Median 3x3,88.82506561279297,28.64544823904255
Contra-harmonic Q=1.5,7371.854791630984,9.455035888263657
Contra-harmonic Q=-1.5,8166.385340890734,9.010504920805776
