method,mse,psnr
Blurred,356.14499930674333,22.61453510148109
Blurred + Gaussian Noise,366.1008931456512,22.494795724732555
Inverse Filter,10536.217932394631,7.903956158221588
Wiener Filter,526.1182934519894,20.919969581258155
CLS Filter,1385.6951250514035,16.71412671769926
