method,mse,psnr
Noisy,19.94196690034567,35.13312369789008
Arithmetic Mean 3x3,41.595924754664196,31.940295769540835
Median 3x3,32.16000969025308,33.05764189932579
Gaussian 5x5,44.00322565169836,31.69595847304766
Adaptive Wiener 5x5,33.393824880400565,32.89414195502762
