image,orig_mean,orig_std,orig_entropy,eq_mean,eq_std,eq_entropy
citywall.bmp,108.41648483276367,72.0722276380675,7.371436923903701,128.552490234375,73.92021026663927,7.097283727804524
citywall1.bmp,104.45256042480469,79.50838666239936,5.711362602137736,141.1800994873047,57.76496617787988,5.534677204497849
citywall2.bmp,95.14714050292969,22.781185741068818,4.742541513986302,142.40130996704102,88.08253524623562,4.741774071474711
elain.bmp,135.37791442871094,46.050484974007716,7.5060000207144455,128.26574325561523,73.5961165328157,7.383044378112864
elain1.bmp,109.97392272949219,103.35291922083121,4.61084696591852,153.41955947875977,46.73836457199827,4.555716344784285
elain2.bmp,124.39735794067383,39.99295640967266,4.546447714124504,154.56565856933594,96.785735554047,4.502890631194816
elain3.bmp,35.98959732055664,5.291922402879533,3.1365690159416846,159.34076690673828,96.6267213121246,3.1365690159416846
lena.bmp,99.05121612548828,52.87751732904626,7.594037916342683,128.17036056518555,73.54759525196869,7.456688416739704
lena1.bmp,94.3740463256836,116.39728384849738,1.217434540239093,191.0409278869629,45.68619561102457,1.217434540239093
lena2.bmp,199.00984954833984,10.15883391267922,5.217630720997632,131.18660354614258,73.23535595521018,5.213394528411362
lena4.bmp,35.02617645263672,39.45766557919806,5.388710377557838,144.88465118408203,54.08476569985205,5.264088376810383
woman.BMP,122.21725711822509,63.36815832046414,7.251487123241859,128.71186923980713,73.7842042525751,6.992008910898802
woman1.bmp,47.48493995666504,75.40402678871106,2.811932309312272,188.4413387298584,22.418008357375143,2.683901511415718
woman2.bmp,41.16788215637207,38.38811536815881,5.214691526476647,141.68950786590577,58.00135825184431,5.096972534073959
